Strong's #	,Grk/Heb	English	SVD	Text
H0477 	אֱלִישָׁע	Elisha	أَلِيشَع	"نبي عاش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في 1 مل ١٩:​ ١٦؛ ابن: شافاط (H8202H) اسمه أيضًا: إليسايوس (ἐlectισσαῖος ""إليشع"" G1666) § إليشع = ""الله خلاص"" النبي العظيم الذي خلف إيليا"
H0478 	אֱלִישָׁפָט	Elishaphat	أَلِيشَافَاط	" رجل عاش في زمن الملكية المنقسمة، ورد ذكره فقط في 2 أي ٢٣:​ ١؛ ابن: زكري (H2147O) § أليشافط = ""قضى إلهي"" قائدًا لرئيس الكهنة يهوياداع"
H0486 	אַלְמוֹדָד	Almodad	أَلْمُودَاد	" رجل يعيش في زمن الآباء، ورد ذكره لأول مرة في تك ١٠:​ ٢٦؛ ابن: يقطان (H3355)؛ شقيق: شليف (هـ 8026)، حضرموت (H2700)، يراح (H3392)، هدورام (H1913A)، أوزال (H0187)، دقلة ( H1853)، أوبال ( H5745)، أبيمايل ( H0039)، شيبا ( H7614Hـ)، أوفير ( H7614Hـ). H0211)، حويلة (H2341I) وجوب (H3103) § الموداد = ""غير مقاس"" من نسل سام"
H0487 	אַלַּמֶּלֶךְ	Allammelech	أَلَّمَّلَك	" § العملليك = ""بلوطة الملك"" بلدة أو موقع في أشير"
H0493 	אֶלְנָ֑עַם	Elnaam	أَلْنَعَم	"رجل عاش في زمن الملكية المنقسمة، لم يُذكر إلا في 1 أي ١١:​ ٤٦؛ والد: يريباي (H3403)، يوشعيا (H3145) § النعام = ""الله سرور"" أو ""الله لطف"" والد اثنين من محاربي داود الجبابرة"
H0494G	אֶלְנָתָן	Elnathan	أَلِنَاثَان	"رجل يعيش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في إرميا ٢٦: ٢٢؛ ابن: عكبور (H5907H) § الناثان = ""أعطى الله"" 1) جد الملك يهوياكين لأمه 2) ثلاثة رؤساء في زمن عزرا 3) ابن عكبور، قائد عسكري في عهد يهوياقيم"
H0494H	אֶלְנָתָן	Elnathan	أَلِنَاثَان	"رجل يعيش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في إرميا ٢٦: ٢٢؛ ابن: عكبور (H5907H) § الناثان = ""أعطى الله"" 1) جد الملك يهوياكين لأمه 2) ثلاثة رؤساء في زمن عزرا 3) ابن عكبور، قائد عسكري في عهد يهوياقيم"
H0494I	אֶלְנָתָן	Elnathan	أَلِنَاثَان	"رجل يعيش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في إرميا ٢٦: ٢٢؛ ابن: عكبور (H5907H) § الناثان = ""أعطى الله"" 1) جد الملك يهوياكين لأمه 2) ثلاثة رؤساء في زمن عزرا 3) ابن عكبور، قائد عسكري في عهد يهوياقيم"
H0494J	אֶלְנָתָן	Elnathan	أَلِنَاثَان	"رجل يعيش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في إرميا ٢٦: ٢٢؛ ابن: عكبور (H5907H) § الناثان = ""أعطى الله"" 1) جد الملك يهوياكين لأمه 2) ثلاثة رؤساء في زمن عزرا 3) ابن عكبور، قائد عسكري في عهد يهوياقيم"
H0494K	אֶלְנָתָן	Elnathan	أَلِنَاثَان	"رجل يعيش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في إرميا ٢٦: ٢٢؛ ابن: عكبور (H5907H) § الناثان = ""أعطى الله"" 1) جد الملك يهوياكين لأمه 2) ثلاثة رؤساء في زمن عزرا 3) ابن عكبور، قائد عسكري في عهد يهوياقيم"
H0495 	אֶלָּסָר	Ellasar	أَلاَّسَار	" § إلاسار = ""الله مؤدب"" مدينة في بابل، ج. 28 ميلاً (50 كم) شرق أور"
H0496 	אֶלְעָד	Elead	أَلِعَاد	" رجل من سبط افرايم يعيش في زمن مصر والبرية، مذكور فقط في ١ اخ ٧:٢١؛ ابن: افرايم (H0669)؛ شقيق: شوتالح (H7803)، باكر (H1071H)، طحان (H8465)، عازر (H5827) وبريعة ( H1283H) § العاد = ""شهد الله"" من نسل أفرايم"
H0497 	אֶלְעָדָה	Eleadah	أَلِعَادَا	" رجل من سبط افرايم عاش في زمن الملكية المنقسمة، ورد ذكره فقط في ١ اخ ٧:٢٠؛ ابن: طاحت (H8480I)؛ والد: طاحت (H8480J)؛ ويسمى أيضًا في نسخة الملك جيمس: eladah؛ § إلاداه = ""زين الله"" من نسل أفرايم"
H0498 	אֶלְעוּזַי	Eluzai	إِلْعُوزَاي	" رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في 1 اخ ١٢:​ ٥ § eluzai = ""الله قوتي"" محارب بنياميني انضم إلى داود"
H0499G	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل يعيش في زمن الملكية المتحدة، ورد ذكره لأول مرة في 2 صم ٢٣:​ ٩؛ ابن: دودو (هـ1734هـ) § العازار = ""أعان الله"" 1) رئيس الكهنة ابن هارون 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المرممة في زمن عزرا 4 ) أحد جبابرة داود 5) لاوي 6) من نسل فرعوش"
H0499H	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل من سبط لاوي عاش في زمن مصر والبرية، ورد ذكره لأول مرة في ١ أخبار ٢٣:٢١؛ ابن: محلي (H4249)؛ شقيق: لبني (H3845Hـ) وكيش (H7027Hـ) § العازار = ""أعان الله"" 1) ابن هارون رئيس الكهنة 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المستعادة في زمن عزرا 4) أحد جبابرة داود 5) لاوي 6) أحد نسل فرعوش"
H0499I	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل يعيش في زمن الملكية المتحدة، ورد ذكره لأول مرة في 2 صم ٢٣:​ ٩؛ ابن: دودو (هـ1734هـ) § العازار = ""أعان الله"" 1) رئيس الكهنة ابن هارون 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المرممة في زمن عزرا 4 ) أحد جبابرة داود 5) لاوي 6) من نسل فرعوش"
H0499J	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل يعيش في زمن الملكية المتحدة، ورد ذكره لأول مرة في 2 صم ٢٣:​ ٩؛ ابن: دودو (هـ1734هـ) § العازار = ""أعان الله"" 1) رئيس الكهنة ابن هارون 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المرممة في زمن عزرا 4 ) أحد جبابرة داود 5) لاوي 6) من نسل فرعوش"
H0499K	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل من سبط لاوي عاش في زمن مصر والبرية، ورد ذكره لأول مرة في ١ أخبار ٢٣:٢١؛ ابن: محلي (H4249)؛ شقيق: لبني (H3845Hـ) وكيش (H7027Hـ) § العازار = ""أعان الله"" 1) ابن هارون رئيس الكهنة 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المستعادة في زمن عزرا 4) أحد جبابرة داود 5) لاوي 6) أحد نسل فرعوش"
H0499L	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل من سبط لاوي عاش في زمن مصر والبرية، ورد ذكره لأول مرة في ١ أخبار ٢٣:٢١؛ ابن: محلي (H4249)؛ شقيق: لبني (H3845Hـ) وكيش (H7027Hـ) § العازار = ""أعان الله"" 1) ابن هارون رئيس الكهنة 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المستعادة في زمن عزرا 4) أحد جبابرة داود 5) لاوي 6) أحد نسل فرعوش"
H0499M	אֶלְעָזָר	Eleazar	أَلِعَازَار	"رجل من سبط لاوي عاش في زمن مصر والبرية، ورد ذكره لأول مرة في ١ أخبار ٢٣:٢١؛ ابن: محلي (H4249)؛ شقيق: لبني (H3845Hـ) وكيش (H7027Hـ) § العازار = ""أعان الله"" 1) ابن هارون رئيس الكهنة 2) ابن أبيناداب الذي اعتنى بالتابوت 3) الكاهن الذي أعاد بناء ودشن أسوار أورشليم المستعادة في زمن عزرا 4) أحد جبابرة داود 5) لاوي 6) أحد نسل فرعوش"
H0500 	אֶלְעָלֵא	Elealeh	أَلْعَالَة	" § العالة = ""الله يصعد"" قرية رأوبينية بالقرب من حشبون (خربة)"
H0501G	אֶלְעָשָׂה	Eleasah	أَلْعَاسَة	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في إرميا ٢٩: ٣؛ ابن: شافان (H8227B)؛ شقيق: أخيقام (هـ0296) وجمريا (هـ1587هـ) § العاسة أو العيسا = ""صنع الله"" 1) من نسل يهوذا بن حالص 2) كاهن من نسل فشحور مع زوجة أجنبية في زمن عزرا 3) ابن شافان ، خادم صدقيا 4) من نسل بنيامين بن رافا والد آصيل"
H0501H	אֶלְעָשָׂה	Eleasah	أَلْعَاسَة	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في إرميا ٢٩: ٣؛ ابن: شافان (H8227B)؛ شقيق: أخيقام (هـ0296) وجمريا (هـ1587هـ) § العاسة أو العيسا = ""صنع الله"" 1) من نسل يهوذا بن حالص 2) كاهن من نسل فشحور مع زوجة أجنبية في زمن عزرا 3) ابن شافان ، خادم صدقيا 4) من نسل بنيامين بن رافا والد آصيل"
H0501I	אֶלְעָשָׂה	Elasah	أَلْعَاسَة	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في إرميا ٢٩: ٣؛ ابن: شافان (H8227B)؛ شقيق: أخيقام (هـ0296) وجمريا (هـ1587هـ) § العاسة أو العيسا = ""صنع الله"" 1) من نسل يهوذا بن حالص 2) كاهن من نسل فشحور مع زوجة أجنبية في زمن عزرا 3) ابن شافان ، خادم صدقيا 4) من نسل بنيامين بن رافا والد آصيل"
H0501J	אֶלְעָשָׂה	Elasah	أَلْعَاسَة	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في إرميا ٢٩: ٣؛ ابن: شافان (H8227B)؛ شقيق: أخيقام (هـ0296) وجمريا (هـ1587هـ) § العاسة أو العيسا = ""صنع الله"" 1) من نسل يهوذا بن حالص 2) كاهن من نسل فشحور مع زوجة أجنبية في زمن عزرا 3) ابن شافان ، خادم صدقيا 4) من نسل بنيامين بن رافا والد آصيل"
H0507 	הָאֶ֫לֶף	Haeleph	آلف	" § أليف = ""ألف"" مدينة في أراضي بنيامين"
H0508 	אֶלְפַּ֫עַל	Elpaal	أَلْفَعَل	" رجل من سبط بنيامين عاش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في ١ أخبار ٨:١١؛ ابن: شهريم (H7842) وحوشيم (H2366A)؛ شقيق: جوباب (H3103J)، ضبيا (H6644)، ميشا (H4331)، مالكام (H4445A)، جيوز (H3263)، ساشيا (H7634)، مرماة (H4821) وأبيتوب (H0036)؛ والد: عابر (H5677I)، مشام (H4936)، شيمد (H8106B)، برية (H1283I)، شيما (H8087I)، زبديا (H2069H)، مشلام (H4918J)، حزقي (H2395)، حابر (H2268J)، إشمراي (H2268J). H3461)، إزليا (H3152)، يوباب (H3103K) § elpaal = ""الله صانع"" بنياميني"
H0511G	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن الملكية المتحدة، ورد ذكره لأول مرة في ١ اخ ٦:٢٦؛ ابن: أخيموت (H0287)؛ والد: صوف (H6689) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511H	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن الملكية المتحدة، ورد ذكره لأول مرة في ١ اخ ٦:٢٦؛ ابن: أخيموت (H0287)؛ والد: صوف (H6689) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511I	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن الملكية المتحدة، ورد ذكره لأول مرة في ١ اخ ٦:٢٦؛ ابن: أخيموت (H0287)؛ والد: صوف (H6689) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511J	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن الملكية المتحدة، ورد ذكره لأول مرة في ١ اخ ٦:٢٦؛ ابن: أخيموت (H0287)؛ والد: صوف (H6689) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511K	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن السبي والعودة، ورد ذكره فقط في ١ اخ ٩:١٦؛ والد: آسا (H0609Hـ) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511L	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن السبي والعودة، ورد ذكره فقط في ١ اخ ٩:١٦؛ والد: آسا (H0609Hـ) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511M	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن السبي والعودة، ورد ذكره فقط في ١ اخ ٩:١٦؛ والد: آسا (H0609Hـ) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0511N	אֶלְקָנָה	Elkanah	أَلْقَانَة	"رجل من سبط لاوي عاش في زمن السبي والعودة، ورد ذكره فقط في ١ اخ ٩:١٦؛ والد: آسا (H0609Hـ) § ألقانة = ""تملك الله"" أو ""خلق الله"" 1) والد صموئيل 2) حاكم في أورشليم في زمن الملك آحاز 3) أحد جبابرة داود 4) ابن قورح 5 ) عدة اللاويين"
H0512 	אֶלְקֹשִׁי	Elkoshite	الأَلْقُوشِيّ	"§ الكوشي = ""الله المصين"" مواطن و/أو من نسل الكوش (الموقع غير معروف)"
H0513 	אֶלְתּוֹלַד	Eltolad	أَلْتُولَد	" § التولاد = ""أجيال الله"" مدينة في جنوب يهوذا"
H0515 	אֶלְתְּקֹן	Eltekon	أَلْتَقُون	" § التيكون = ""الله مستقيم"" مدينة في أراضي يهوذا شمال الخليل"
H0522 	אַמָּה	Ammah	أَمَّة	" § أمة = ""ذراع"" تل قريب من جبعون"
H0526G	אָמוֹן	Amon	آمُون	"رجل يعيش في زمن السبي والعودة، ورد ذكره لأول مرة في عز ٢:​ ٥٧؛ يُدعى أيضًا آمون في نح ٧:​٥٩؛ اسم آخر لـ a.mi (ʼᴇ ""عامي"" H0532) § آمون = ""صانع ماهر"" أو ""صانع محترف"" 1) ملك يهوذا ابن منسى 2) حاكم السامرة 3) من نسل خادم سليمان"
H0526H	אָמוֹן	Amon	آمُون	"رجل يعيش في زمن السبي والعودة، ورد ذكره لأول مرة في عز ٢:​ ٥٧؛ يُدعى أيضًا آمون في نح ٧:​٥٩؛ اسم آخر لـ a.mi (ʼᴇ ""عامي"" H0532) § آمون = ""صانع ماهر"" أو ""صانع محترف"" 1) ملك يهوذا ابن منسى 2) حاكم السامرة 3) من نسل خادم سليمان"
H0526I	אָמוֹן	Amon	آمُون	"رجل يعيش في زمن السبي والعودة، ورد ذكره لأول مرة في عز ٢:​ ٥٧؛ يُدعى أيضًا آمون في نح ٧:​٥٩؛ اسم آخر لـ a.mi (ʼᴇ ""عامي"" H0532) § آمون = ""صانع ماهر"" أو ""صانع محترف"" 1) ملك يهوذا ابن منسى 2) حاكم السامرة 3) من نسل خادم سليمان"
H0528 	אָמוֹן	Amon	أَمُون	" § آمون أو آمون = ""يغذي: أن يكون مخلصًا"" إله مصري، في الأصل إله طيبة المحلي، فيما بعد رئيس البانثيون المصري"
H0531 	אָמוֹץ	Amoz	آمُوص	" رجل عاش في زمن الملكية المنقسمة، ورد ذكره لأول مرة في 2 مل ١٩:​ ٢؛ والد: إشعياء (H3470A) § آموص = والد إشعياء ""القوي""."
H0532 	אָמִי	Ami	آمِي	"رجل يعيش في زمن السبي والعودة، ورد ذكره لأول مرة في عز ٢:​ ٥٧؛ يُدعى أيضًا آمون في نح ٧:​٥٩؛ يُسمى أيضًا: a.mon (ʼamon ""H0526I) § ami = ""عبد العبد"" من نسل آمون، خادم سليمان"
H0538 	אֲמָם	Amam	أَمَام	" § أمام = ""أمهم"" مدينة في جنوب يهوذا"
H0549G	אֲמָנָה	Amana	أَمَانَة	"أمانة = ""دعم"" نهر يتدفق إلى سهل دمشق من أنتيليبان، اسم آخر لـ a.va.nah ( аэбанна، ""أبانا"" H0071)"
H0549H	אֲמָנָה	Amana	أَمَانَة	"أمانة = ""دعم"" نهر يتدفق إلى سهل دمشق من أنتيليبان، اسم آخر لـ a.va.nah ( аэбанна، ""أبانا"" H0071)"
H0550G	אַמְנוֹן	Amnon	أَمْنُون	"رجل من سبط يهوذا(؟) عاش في زمن الملكية المنقسمة، لم يُذكر إلا في ١ أخبار ٤:٢٠؛ ابن: شمعون (H7889)؛ شقيق: رنة (H7441)، بن حانان (H1135)، تيلون (H8436) § أمنون = ""مخلص"" 1) الابن الأكبر لداود، مغتصب ثامار، الذي قتله أبشالوم 2) ابن شمعون (من عشيرة كالب)"
H0550H	אַמְנוֹן	Amnon	أَمْنُون	"رجل من سبط يهوذا(؟) عاش في زمن الملكية المنقسمة، لم يُذكر إلا في ١ أخبار ٤:٢٠؛ ابن: شمعون (H7889)؛ شقيق: رنة (H7441)، بن حانان (H1135)، تيلون (H8436) § أمنون = ""مخلص"" 1) الابن الأكبر لداود، مغتصب ثامار، الذي قتله أبشالوم 2) ابن شمعون (من عشيرة كالب)"
H0557G	אַמְצִי	Amzi	أَمْصِي	"رجل يعيش في زمن السبي والعودة، مذكور فقط في نحميا ١١:١٢؛ ابن: زكريا (H2148X)؛ والد: بلاليا (H6421) § أمزي = ""قوتي"" 1) لاوي 2) جد منفي عاد في الخط الكهنوتي"
H0557H	אַמְצִי	Amzi	أَمْصِي	"رجل يعيش في زمن السبي والعودة، مذكور فقط في نحميا ١١:١٢؛ ابن: زكريا (H2148X)؛ والد: بلاليا (H6421) § أمزي = ""قوتي"" 1) لاوي 2) جد منفي عاد في الخط الكهنوتي"
H0558G	אֲמַצְיָ֫הוּ	Amaziah	أَمَصْيَا	"رجل يعيش في زمن الملكية المنقسمة، ذكر لأول مرة في عامو ٧:​ ١٠ § أمصيا = ""يهوه جبار"" 1) ملك يهوذا، ابن يوآش، والد عزريا 2) كاهن بيت إيل في عهد يربعام الثاني 3) الأب ليوشا من سبط شمعون 4) لاوي مغني في المسكن في ايام داود"
H0558H	אֲמַצְיָ֫הוּ	Amaziah	أَمَصْيَا	"رجل يعيش في زمن الملكية المنقسمة، ذكر لأول مرة في عامو ٧:​ ١٠ § أمصيا = ""يهوه جبار"" 1) ملك يهوذا، ابن يوآش، والد عزريا 2) كاهن بيت إيل في عهد يربعام الثاني 3) الأب ليوشا من سبط شمعون 4) لاوي مغني في المسكن في ايام داود"
H0558I	אֲמַצְיָ֫הוּ	Amaziah	أَمَصْيَا	"رجل يعيش في زمن الملكية المنقسمة، ذكر لأول مرة في عامو ٧:​ ١٠ § أمصيا = ""يهوه جبار"" 1) ملك يهوذا، ابن يوآش، والد عزريا 2) كاهن بيت إيل في عهد يربعام الثاني 3) الأب ليوشا من سبط شمعون 4) لاوي مغني في المسكن في ايام داود"
H0558J	אֲמַצְיָ֫הוּ	Amaziah	أَمَصْيَا	"رجل يعيش في زمن الملكية المنقسمة، ذكر لأول مرة في عامو ٧:​ ١٠ § أمصيا = ""يهوه جبار"" 1) ملك يهوذا، ابن يوآش، والد عزريا 2) كاهن بيت إيل في عهد يربعام الثاني 3) الأب ليوشا من سبط شمعون 4) لاوي مغني في المسكن في ايام داود"
H0564G	אִמֵּר	Immer	إِمِّير	"رجل يعيش في زمن المنفى والعودة، مذكور فقط في نحميا ٣: ٢٩؛ والد: صادوق (H6659K) § إمير = ""قال"" 1) كاهن في زمن داود 2) كاهن في زمن إرميا 3) أبو صادوق الكاهن 4) جد كاهن"
H0564H	אִמֵּר	Immer	إِمِّير	"رجل يعيش في زمن المنفى والعودة، مذكور فقط في نحميا ٣: ٢٩؛ والد: صادوق (H6659K) § إمير = ""قال"" 1) كاهن في زمن داود 2) كاهن في زمن إرميا 3) أبو صادوق الكاهن 4) جد كاهن"
H0564I	אִמֵּר	Immer	إِمِّير	"رجل يعيش في زمن المنفى والعودة، مذكور فقط في نحميا ٣: ٢٩؛ والد: صادوق (H6659K) § إمير = ""قال"" 1) كاهن في زمن داود 2) كاهن في زمن إرميا 3) أبو صادوق الكاهن 4) جد كاهن"
H0564J	אִמֵּר	Immer	إِمِّير	"رجل يعيش في زمن المنفى والعودة، مذكور فقط في نحميا ٣: ٢٩؛ والد: صادوق (H6659K) § إمير = ""قال"" 1) كاهن في زمن داود 2) كاهن في زمن إرميا 3) أبو صادوق الكاهن 4) جد كاهن"
H0566G	אִמְרִי	Imri	إِمْرِي	"رجل يعيش في زمن المنفى والعودة، مذكور فقط في نحميا ٣: ٢؛ والد: زكور (H2139L) § إمري = ""فصيح"" 1) رجل من يهوذا 2) جد أحد مساعدي نحميا"
H0566H	אִמְרִי	Imri	إِمْرِي	"رجل يعيش في زمن المنفى والعودة، مذكور فقط في نحميا ٣: ٢؛ والد: زكور (H2139L) § إمري = ""فصيح"" 1) رجل من يهوذا 2) جد أحد مساعدي نحميا"
H0567 	אֱמֹרִי	Amorite	الأَمُورِيّ	"شخص ما ينحدر من عمرو (؟)، المذكور لأول مرة في تك ١٠:​ ١٦؛ ينحدر من كنعان (H3667)؛ مع صيدا (H6721)، حث (H2845)، اليبوسي (H2983)، الجرجاشي (H1622)، الحويتي (H2340)، الأركيت (H6208)، السينيتي (H5513)، الأرواديت (H0721)، الصماريت (H6786) والحماثيت (H2577). ) § الأموريون = ""القائل"" أحد شعوب شرق كنعان وما وراء الأردن، الذين طردهم الغزو الإسرائيلي من مصر"
H0568G	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568H	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568I	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568J	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568K	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568L	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568M	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568N	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
H0568O	אֲמַרְיָ֫הוּ	Amariah	أَمَرْيَا	"رجل يعيش في زمن الملكية المنقسمة، مذكور فقط في صف ١: ١؛ ابن: حزقيا (ح٢٣٩٦ك)؛ والد: جدليا (H1436H) § أمريا = ""يهوه يتكلم"" أو ""وعد يهوه"" 1) جد صادوق 2) ابن رئيس الكهنة في زمن سليمان 3) رئيس كهنة في عهد يهوشافاط 4) ابن حزقيا العظيم- جد صفنيا 5) لاوي في زمن عزرا 6) لاوي في عهد حزقيا 7) كاهن في زمن نحميا"
