G0010,αβιουδ,ابيود
H4232,מְחוּיָאֵל,محوجا
H4238,מַחֲזִיאֹת,محازية
H4266,מַחֲנַיִם,مهنايم
H4271,מַחְסֵיָה,محسيه
H4287,מַ֫חַת,مهات
H4311,מֵידְבָא,ميديبا
H4312,מֵידָד,مداد
H4316,מִיכָא,ميكا
H4322,מִיכָיָ֫הוּ,ميخا
H4324,מִיכַל,ميشال
H4326,מִיָּמִן,ميجامين
H4336,מֵישַׁךְ,ميشخ
H4375,מַכְפֵּלָה,المكبيلة
H4407,מִלּוֹא,ميلو
H4409,מְלִיכוּ,ميليكو
H4413,מַלּוֹתִי,مالوثي
H4428,מֶ֫לֶךְ,ملِك
H4439,מַלְכִּיאֵל,مالشيل
H4441,מַלְכִּיָּהוּ,مالتشيجا
H4445,מַלְכָּם,ميلكوم
H4453,מֶלְצָר,وصي
H4462,מְמוּכָן,ميموكان
H4471,מַמְרֵא,ممري
H4495,מָנוֹחַ,مانوح
H4505,מְנַחֵם,مناحيم
H4506,מָנַ֫חַת,المناحات
H4509,מִנְיָמִין,Miniamin
H4511,מִנִּית,مينيث
H4532,מַסָּה,ماسة
H4584,מָעוֹן,ماون
H4586,מְעוּנִים,Meunite
H4590,מַעַזְיָהוּ,معزية
H4602,מַעֲכָתִי,الماكاثيت
H4610,מַעֲלֵה עַקְרַבִּים,منحدرات Akrabbin
H4708,מִצְפֶּה,المصفاة
H4722,מַקְהֵלֹת,ماكيلوت
H4732,מִקְלוֹת,ميكلوث
H4764,מֵרָב,مراب
H4778,מֶ֫רֶד,ميريد
H4785,מָרָה,مرح
H4807,מְרִיב בַּ֫עַל,مريب بعل
H4812,מְרָיוֹת,مريوث
H4813,מִרְיָם,ميريام
H4824,מֵרֹנֹתִי,ميرونوثايت
H4847,מְרָרִי,ميراري
H4861,מִשְׁאָל,مشعل
H4869,מִשְׂגָּב,ملجأ عالي
H4898,מְשֵׁיזַבְאֵל,مشيزابل
H4902,מֶ֫שֶׁךְ,مشيك
H4905,מַשְׂכִּיל,Maschil
H4919,מְשִׁלֵּמוֹת,مشيلموث
H4927,מִשְׁמָע,ميشما
H4941,מִשְׁפָּט,عدالة
H4956,מִשְׂרְפוֹת מַיִם,مسرفوث ميم
H4967,מְתוּשָׁאֵל,ميثوشيل
H4980,מַתָּנָה,متانة
H4982,מַתְּנַי,ماتيناي
H4989,מִתְקָה,مثقة
H4990,מִתְרְדָת,ميثريداث
H4996,נֹא,لا
H5015,נְבוֹ,نيبو
H5020,נְבוּכַדְנֶצַּר,نبوخذ نصر
H5025,נֹ֫בַח,نوبة
H5096,נַהֲלֹל,نهلال
H5126,נוּן,عدم
H5129,נוֹעַדְיָה,نادية
H5160,נַחֲלִיאֵל,نحاليل
H5161,נֶחֱלָמִי,نهيلاميت
H5171,נַחֲרַי,نهاري
H5184,נַ֫חַת,نهات
H5199,נְטֹפָה,نتوفاه
H5200,נְטֹפָתִי,نتوفاتيت
H5224,נְכוֹ,نيكو
H5241,נְמוּאֵל,Nemuel
H5279,נַעֲמָה,نعمه
H5281,נׇעֳמִי,نعومي
H5294,נְעַרְיָה,قريبه
H5297,נֹף,ممفيس
H5303,נְפִלִים,نفيليم
H5305,נָפִישׁ,نافيش
H5316,נֶ֫פֶת,النفاثة
H5371,נֵרְגַּל שַׁרְאֶ֫צֶר,نيرجال سار عيزر
H5417,נְתַנְאֵל,نيثانيل
H5434,סְבָא,سيبا
H5444,סִבְּכַי,Sibbecai
H5454,סַבְתָּה,سبتة
H5479,סוֹטַי,سوتاي
H5492,סוּפָה,سوفحة
H5512,סִין,الخطيئة
H5517,סִיעָא,سيا
H5548,סַלְכָה,سالكة
H5554,סֶ֫לַע,سيلا
H5570,סְנָאָה,سناء
H5574,סְנוּאָה,حسنوة
H5581,סִסְמַי,سيسماي
H5617,סְפַרְוַ֫יִם,سيفارفايم
H5618,סֹפֶ֫רֶת,هاسوفريث
H5624,סֶ֫רֶד,سيريد
H5653,עַבְדָּא,عبدة
H5663,עֶ֫בֶד מֶ֫לֶךְ,عابد ملك
H5665,עֲבֵד נְגוֹ,عابد نيجو
H5680,עִבְרִי,اللغة العبرية
H5684,עַבְרֹנָה,ابرونة
H5697,עֶגְלָה,اجلات
H5700,עֶגְלוֹן,إيجلون
H5711,עָדָה,Adah
H5717,עֲדִיאֵל,عديل
H5718,עֲדָיָ֫הוּ,Adaiah
H5720,עָדִין,عدن
H5726,עֲדֻלָּמִי,Adullamite
H5740,עֵ֫דֶר,إيدير
H5741,עַדְרִיאֵל,أدرييل
H5755,עַוָּה,افا
H5761,עַוִּים,أففيم
H5762,עֲוִית,افيث
H5780,עוּץ,أوز
H5793,עוּתַי,أوثاي
H5799,עֲזָאזֵל,كبش فداء
H5803,עַזְגָּד,أزجاد
H5809,עַזּוּר,أزور
H5812,עֲזַזְיָ֫הוּ,عزازية
H5817,עׇזִּיאֵלִי,عوزيليت
H5820,עַזְמָ֫וֶת,Azmaveth
H5829,עֵ֫זֶר,عيزر
H5832,עֲזַרְאֵל,عزرائيل
H5837,עַזְרִיאֵל,عزرائيل
H5841,עַזָּתִי,غازيت
H5852,עֲטָרוֹת,أتاروث
H5853,עַטְרוֹת אַדָּר,أتاروث أدار
H5859,עִיּוֹן,إيجون
H5862,עֵיטָם,عيتام
H5864,עִיִּים,ايم
H5872,עֵין גֶּ֫דִי,إن جيدي
H5873,עֵין גַּנִּים,En-gannim
H5874,עֵין־דֹּר,En-dor
H5879,עֵינָם,إنام
H5883,עֵין רֹגֵל,إن روجل
H5885,עֵין שֶׁ֫מֶשׁ,En-shemesh
H5896,עִירָא,ايرا
H5897,עִירָד,إراد
H5906,עַ֫יִשׁ,دُبٌّ
H5907,עַכְבּוֹר,أشبور
H5941,עֵלִי,ايلي
H5943,עִלַּי,الأعلى
H5945,עֶלְיוֹן,الأعلى
H5961,עֲלָמוֹת,الاموث
H5963,עַלְמֹן דִּבְלָתָיְמָה,علمون دبلاتايم
H5964,עָלֶ֫מֶת,اليميث
H5984,עַמּוֹנִי,أمونيت
H5985,עַמּוֹנִית,عمونة
H5987,עָמוֹק,اموك
H6003,עֲמָלֵקִי,عماليق
H6020,עַמְרָמִי,عمراميت
H6021,עֲמָשָׂא,أماسا
H6022,עֲמָשַׂי,أماساي
H6034,עֲנָה,عنة
H6042,עֻנִּי,أوني
H6049,עָנַן,إلى سحابة
H6061,עֲנָק,عنك
H6062,עֲנָקִי,أناكيم
H6063,עָנֵר,أنير
H6069,עַנְּתֹתִי,Anathothite
H6077,עֹ֫פֶל,أوفيل
H6081,עֵ֫פֶר,افر
H6085,עֶפְרוֹן,إيفرون
H6100,עֶצְיוֹן גֶּ֫בֶר,عصيون جبر
H6107,עֶ֫צֶם,ازم
H6111,עַצְמוֹן,عصمون
H6126,עַקּוּב,Akkub
H6139,עֶקְרוֹנִי,عكرونايت
H6144,עָר,أر
H6147,עֵר,إيه
H6152,עֲרָב,شبه الجزيرة العربية
H6159,עֹרֵב,أوريب
H6160,עֲרָבָה,عربة
H6163,עַרְבִי,عرب
H6166,עֲרָד,اراد
H6179,עֵרִי,إيري
H6214,עֲשָׂהאֵל,عسايل
H6222,עֲשָׂיָה,Asaiah
H6228,עָשָׁן,عشان
H6262,עַתַּי,أتاي
H6274,עׇתְנִיאֵל,عثنييل
H6290,פָּארָן,باران
H6295,פַּגְעִיאֵל,باجيل
H6305,פְּדָיָהוּ,بدية
H6307,פַּדָּן,بادان
H6312,פּוּאָה,بواه
H6316,פּוּט,يضع
H6318,פּוֹטִיפַר,بوتيفار
H6322,פּוּל,بول
H6325,פּוּנֹן,بونون
H6332,פּוּר,عيد المساخر
H6355,פַּ֫חַת מוֹאָב,باهث موآب
H6367,פִּי הַחִירֹת,Pi-hahiroth
H6369,פִּיכֹל,فيكول
H6396,פַּלּוּא,بالو
H6404,פֶּ֫לֶט,Pelet
H6406,פַּלְטִי,بالتي
H6409,פַּלְטִיאֵל,بالتيل
H6410,פְּלַטְיָ֫הוּ,بلاتيا
H6411,פְּלָיָה,فلاح
H6430,פְּלִשְׁתִּי,فلسطيني
H6437,פָּנָה,للإلتفاف
H6431,פֶּ֫לֶת,بيليث
H6432,פְּלֵתִי,بيليثيت
H6439,פְּנוּאֵל,بينيل
H6444,פְּנִנָּה,بنينه
H6453,פֶּ֫סַח,عيد الفصح
H6454,פָּסֵחַ,باسيه
H6464,פָּ֑עוּ,باي
H6492,פֶּ֫קַח,بيكاه
H6503,פַּרְוָר,باربار
H6514,פְּרוּדָא,بيريدا
H6522,פְּרִזִּי,بيريزايت
H6539,פָּרַס,بلاد فارس
H6540,פָּרַס,اللغة الفارسية
H6551,פַּרְעֹשׁ,باروش
H6553,פִּרְעָתוֹנִי,Pirathonite
H6557,פֶּ֫רֶץ,بيريز
H6560,פֶּרֶץ עֻזָּא,بيريز عوزا
H6583,פַּשְׁחוּר,بشهور
H6604,פְּתוֹר,بيتور
H6611,פְּתַחְיָה,بتحايا
H6624,פַּתְרוֹס,باتروس
H6629,צֹאן,قطيع
H6636,צְבֹיִים,زيبوييم
H6649,צִבְעוֹן,زبعون
H6650,צְבֹעִים,زيبويم
H6664,צֶ֫דֶק,نزاهه
H6678,צוֹבָא,زوبة
H6689,צוּף,زوف
H6690,צוֹפַח,صوفا
H6691,צוֹפַר,زوفار
H6698,צוּר,تسور
H6714,צֹ֫חַר,زوهار
H6717,צִיבָא,زيبا
H6721,צִידוֹן,صيدا
H6722,צִידֹנִי,صيدا
H6727,צִיחָא,زيها
H6741,צִלָּה,زلة
H6756,צַלְמוֹן,زلمون
H6758,צַלְמֹנָה,زلمونة
H6759,צַלְמֻנָּע,زلمنا
H6762,צֵלַע,زيلا
H6765,צְלׇפְחָד,زلفهاد
H6768,צֶ֫לֶק,زيليك
H6769,צִלְּתַי,زيليثاي
H6786,צְמָרִי,زماريت
H6787,צְמָרַיִם,زمرايم
H6790,צִן,زين
H6814,צֹ֫עַן,زوان
H6815,צַעֲנַנִּים,زنانيم
H6828,צָפוֹן,شمال
H6837,צִפְיוֹן,زيفيون
H6865,צֹר,إطار العجلة
H6868,צְרֵדָה,زريدة
H6872,צְרוֹר,زيرور
H6876,צֹרִי,صور
H6881,צׇרְעָה,زورا
H6882,צׇרְעָתִי,الزوراثيت
H6891,צָֽרְתָן,زاريثان
H6909,קַבְצְאֵל,كابزيل
H6914,קִבְרוֹת הַתַּאֲוָה,كيبروت حتاوة
H6932,קְדֵמוֹת,كيدموث
H6934,קַדְמִיאֵל,قدمئيل
H6938,קֵדָר,كيدار
H6943,קֶ֫דֶשׁ,كديش
H6944,קֹ֫דֶשׁ,قداسة
H6954,קְהֵלָ֫תָה,كهيلاتة
H6956,קְהָתִי,الكهاتية
H6976,הַקוֹץ,هاكوز
H6981,קוֹרֵא,كور
H7014,קַ֫יִן,القيني
H7018,קֵינָן,كنان
H7027,קִישׁ,كيش
H7042,קְלִיטָא,كيليتا
H7055,קְמוּאֵל,كيمويل
H7071,קָנָה,كانة
H7073,קְנַז,كيناز
H7074,קְנִזִּי,كينيزايت
H7145,קׇרְחִי,القورهي
H7152,קְרִיּוֹת,كيريوث
H7153,קִרְיַת אַרְבַּע,قرية أربع
H7156,קִרְיָתַ֫יִם,قرياتايم
H7161,קַרְנַ֫יִם,كرنايم
H7191,קִשְׁיוֹן,كيشون
H7205,רְאוּבֵן,روبن
H7206,רְאוּבֵנִי,روبنيت
H7211,רְאָיָה,ريياه
H7237,רַבָּה,رباح
H7247,רִבְלָה,ربلة
H7249,רַב־סָרִיס,راب ساريس
H7254,רֶ֫בַע,ريبا
H7316,רוּמָה,رماح
H7320,רֹמַ֫מְתִּי עֶ֫זֶר,رومامتي عيزر
H7344,רְחֹבוֹת,ريهوبوث
H7345,רְחַבְיָהוּ,رحابيا
H7348,רְחוּם,ريهم
H7354,רָחֵל,راشيل
H7384,דִּיפַת,ريفاث
H7394,רֵכָב,رحاب
H7397,רֵכָבִי,Rechah
H7410,רָם,كبش
H7417,רִמּוֹן,ريمون
H7428,רִמֹּן פָּ֑רֶץ,ريمون بيريز
H7446,רִסָּה,ريسة
H7466,רְעוּ,Reu
H7467,רְעוּאֵל,رويل
H7484,רַעְמָה,رامة
H7497,רָפָה,رفائيم
H7498,רָפָא,رافا
H7508,רְפִידִים,رفيديم
H7509,רְפָיָה,رفاهية
H7526,רְצִין,رزين
H7530,רֶ֫צֶף,ريزيف
H7532,רִצְפָּה,رزفة
H7552,רֶ֫קֶם,ريكيم
H7575,רִתְמָה,رثمة
H7585,שְׁאוֹל,شيول
H7597,שְׁאַלְתִּיאֵל,شالتيل
H7614,שְׁבָא,شيبا
H7619,שְׁבוּאֵל,شيبويل
H7641,שִׁבֹּ֫לֶת,أذن
H7643,שְׂבָם,سيبام
H7645,שְׁבַנְיָהוּ,شبانيا
H7652,שֶׁבַע,شيبا
H7687,שְׂגוּב,Segub
H7692,שִׁגָּיוֹן,شيغيون
H7706,שַׁדַּי,عز وجل
H7731,שׁוֹבַךְ,شوباخ
H7740,שָׁוֵה,شفيه
H7759,שׁוּלַמִּית,الشولميت
H7763,שֹׁמֵר,شومر
H7764,שׁוּנִי,شوني
H7766,שׁוּנֵם,شونيم
H7767,שׁוּנַמִּית,شوناميت
H7777,שׁוּעָל,شوال
H7780,שׁוֹפָךְ,شوبهاش
H7800,שׁוּשַׁן,سوزا
H7851,שִׁטִּים,شتم
H7888,שִׁילֹנִי,شيلونايت
H7895,שִׁישַׁק,شيشك
H7928,שֶׁ֫כֶם,شكيم
H7935,שְׁכַנְיָהוּ,شكنية
H7974,שֶׁ֫לַח,شيلة
H7975,שִׁלֹחַ,شيلة
H8004,שָׁלֵם,سالم
H8006,שִׁלֵּם,شيلم
H8007,שַׂלְמָא,سلمى
H8013,שְׁלֹמוֹת,شلوموت
H8017,שְׁלֻמִיאֵל,شيلوميل
H8037,שַׁמָּא,شما
H8044,שַׁמְגַּר,شمغار
H8048,שַׁמָּה,شمه
H8061,שְׁמִידָ֑ע,شميدة
H8070,שְׁמִירָמוֹת,شيميراموث
H8077,שִֽׁמְמָה,دمار
H8087,שֶׁ֫מַע,شيما
H8092,שִׁמְעָא,شيميا
H8095,שִׁמְעוֹן,سمعان
H8096,שִׁמְעִי,شمعه
H8097,שִׁמְעִי,شميت
H8099,שִׁמְעֹנִי,سمعوني
H8106,שֶׁ֫מֶר,شيمر
H8124,שִׁמְשַׁי,شيمشاي
H8169,שַׁעַלְבִים,شعلبيم
H8174,שַׁ֫עַף,شاف
H8197,שְׁפוּפָן,شيفوفان
H8206,שֻׁפִּים,شوبيم
H8219,שְׁפֵלָה,الأراضي المنخفضة
H8221,שְׁפָם,شيفام
H8227,שָׁפָן,الغرير الصخري
H8272,שַׁרְאֶ֫צֶר,Sharezer
H8274,שֵׁרֵֽבְיָה,شربية
H8283,שָׂרָה,ساره
H8301,שָׂרִיד,سريد
H8303,שִׂרְיֹן,سيريون
H8314,שָׂרָף,ساروف
H8325,שָׁרָר,شرار
H8339,שֵׁשְׁבַּצַּר,شيشبازار
H8349,שָׁשָׁק,شاشك
H8352,שֵׁת,سيث
H8404,תַּבְעֵרָה,تبيرة
H8405,תֵּבֵץ,طيبة
H8407,תִּגְלַת פִּלְאֶ֫סֶר,تيغلاث بلصر
H8422,תּוּבַל,توبال
H8439,תּוֹלָע,تولا
H8453,תּוֹשָׁב,سوجورنر
H8465,תַּ֫חַן,طحان
H8471,תַּחְפַּנְחֵס,تهابانس
H8472,תַּחְפְּנֵיס,تاهبينيس
H8480,תַּ֫חַת,طهث
H8485,תֵּימָא,تيما
H8489,תֵּימָנִי,التيمانيت
H8515,תְּלַאשָּׂ֑ר,تلسار
H8547,תָּ֑מַח,تيما
H8550,תֻּמִּים,ثوميم
H8559,תָּמָר,تمار
H8590,תַּעֲנָךְ,تعناك
H8599,תַּפֻּחַ,تبواه
H8607,תִּפְסַח,تفسة
H8612,תֹּ֫פֶת,توفيث
H8620,תְּקוֹעַ,تكوا
H8621,תְּקוֹעִי,تكويت
H8640,תִּרְהָקָה,ترهاكة
H8655,תְּרָפִים,ترافيم
H8657,תֶּ֫רֶשׁ,تيريش
H8664,תִּשְׁבִּי,Tishbite
H8674,תַּתְּנַי,تاتيني
